Fold,Speed,Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy
2,PGB_20_0,0,0.6464295983314514,0.5493609309196472,0.8313795328140259,0.7051299810409546
2,PGB_20_0,1,0.7468196749687195,0.6054890751838684,0.9140143990516664,0.7645513415336609
1,PGB_20_0,0,0.4189516603946686,0.5613116025924683,0.6099091172218323,0.7589916586875916
1,PGB_20_0,1,0.6620495915412903,0.67182856798172,0.8434828519821167,0.8749477863311768
